date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2022-12-23,168.9,172.65,168.8,172.0,9136.0
2022-12-27,171.0,171.0,165.7,166.95,10951.0
2022-12-28,166.75,174.95,166.7,173.55,16432.0
2022-12-29,172.95,173.4,169.25,170.05,10617.0
2022-12-30,169.1,172.45,165.15,167.3,13417.0
2023-01-03,166.45,171.15,164.65,166.3,18913.0
2023-01-04,167.25,167.95,159.25,161.3,21948.0
2023-01-05,162.25,163.15,159.5,160.55,15424.0
2023-01-06,160.1,162.55,157.15,158.3,16254.0
2023-01-09,158.3,161.2,156.4,158.05,23893.0
2023-01-10,157.0,158.05,149.1,150.9,36499.0
2023-01-11,149.8,150.5,142.05,143.9,37941.0
2023-01-12,143.9,150.75,143.9,149.4,30546.0
2023-01-13,150.55,152.35,147.0,151.7,23810.0
2023-01-17,150.5,152.1,148.5,151.1,16457.0
2023-01-18,151.55,156.05,151.5,155.0,18098.0
2023-01-19,154.5,157.55,153.6,154.6,18129.0
2023-01-20,154.45,155.4,151.85,154.8,12912.0
2023-01-23,154.75,159.95,154.5,158.55,25536.0
2023-01-24,158.95,161.25,156.85,159.85,21920.0
2023-01-25,160.0,163.3,159.6,162.45,18753.0
2023-01-26,162.65,167.75,162.45,167.15,24862.0
2023-01-27,167.1,170.15,165.95,169.9,26795.0
2023-01-30,168.0,171.65,167.05,170.4,25647.0
2023-01-31,170.05,182.8,169.85,181.75,46686.0
2023-02-01,180.3,184.2,175.55,175.9,31812.0
2023-02-02,177.0,181.35,176.55,177.9,20530.0
2023-02-03,176.4,177.9,172.05,172.8,27217.0
2023-02-06,172.55,176.95,171.25,175.7,24699.0
2023-02-07,177.15,178.5,172.95,177.05,37402.0
2023-02-08,177.0,177.6,174.3,175.6,28501.0
2023-02-09,175.9,177.05,172.05,173.65,25230.0
2023-02-10,174.7,177.2,174.0,174.75,26854.0
2023-02-13,174.5,179.75,174.0,177.05,18227.0
2023-02-14,178.0,184.0,177.55,183.55,13233.0
2023-02-15,181.9,182.75,175.25,176.85,10888.0
2023-02-16,178.25,183.25,176.75,180.7,4543.0
2023-02-17,180.85,189.85,179.95,188.7,315.0
2023-02-21,188.3,197.3,188.3,194.45,123.0
2023-02-22,194.55,199.75,194.55,199.5,42.0
2023-02-23,197.7,197.7,193.25,193.65,38.0
2023-02-24,192.9,192.9,190.25,191.2,7.0
2023-02-27,189.9,189.9,189.75,190.7,2.0
2023-02-28,,,,190.4,24.0
2023-03-01,188.0,188.0,185.0,185.3,53.0
2023-03-02,,,,183.95,
2023-03-03,181.0,181.7,180.4,180.8,6.0
2023-03-06,180.8,182.0,180.6,182.45,11.0
2023-03-07,182.15,182.15,182.15,184.55,4.0
2023-03-08,180.0,180.0,179.0,179.55,9.0
2023-03-09,178.15,182.1,177.0,178.0,52.0
2023-03-10,180.05,182.35,180.05,182.25,25.0
2023-03-13,175.0,183.7,175.0,183.2,2.0
2023-03-14,,,,180.9,5.0
2023-03-15,177.25,177.25,177.25,178.05,2.0
2023-03-16,,,,185.5,
2023-03-17,181.65,182.25,181.65,183.0,66.0
2023-03-20,,,,184.9,1.0
2023-03-21,,,,186.7,
2023-03-22,179.55,181.1,176.7,178.0,13546.0
2023-03-23,178.75,179.4,173.9,174.3,14587.0
2023-03-24,174.8,179.85,172.6,179.25,18107.0
2023-03-27,178.5,184.0,175.95,176.9,23743.0
